n,dofs,source_kind,strength,grid_size_h,grid_cell_area,heat_source_active_points,heat_source_active_area,heat_source_integral,solver,cg_iterations,elapsed_seconds,absolute_residual,relative_residual,matrix_nnz,t_min,t_max,t_mean
16,256,gaussian,100.0,0.058823529411764705,0.0034602076124567475,256,0.8858131487889274,2.2619466996808275,direct,,0.0013672920176759362,6.87939711292044e-13,3.805444793217946e-15,1216,0.008498065619775477,0.7464026764031902,0.18302629401699272
24,576,gaussian,100.0,0.04,0.0016,576,0.9216000000000001,2.2619467105846485,direct,,0.0006960829487070441,2.5167570847671037e-12,9.466187547932787e-15,2784,0.003945611534320673,0.7592362544837671,0.1761764992723159
32,1024,gaussian,100.0,0.030303030303030304,0.0009182736455463729,1024,0.9403122130394859,2.2619467105846507,direct,,0.0013722499134019017,5.155433841848443e-12,1.4690111475962023e-14,4992,0.0022679705756809654,0.7637532352767834,0.17276332522360088
48,2304,gaussian,100.0,0.02040816326530612,0.00041649312786339016,2304,0.9596001665972509,2.26194671058465,direct,,0.0028707919409498572,1.6831944952540483e-11,3.230070752745774e-14,11328,0.001029850450657821,0.7670220019406874,0.16935777495788507
64,4096,gaussian,100.0,0.015384615384615385,0.0002366863905325444,4096,0.9694674556213019,2.2619467105846494,direct,,0.005770458024926484,3.768674941745247e-11,5.451915758743888e-14,20224,0.0005854915921139443,0.7681823780290373,0.16765782507393018
96,9216,gaussian,100.0,0.010309278350515464,0.00010628122010840684,9216,0.9794877245190774,2.2619467105846507,direct,,0.020131625002250075,1.3890754349310139e-10,1.34656682328204e-13,45696,0.0002629878736837317,0.7690204380899386,0.16595974531341007
128,16384,gaussian,100.0,0.007751937984496124,6.009254251547383e-05,16384,0.9845562165735232,2.2619467105846507,direct,,0.05884283292107284,2.9727654396749816e-10,2.166929322216267e-13,81408,0.0001487121878628526,0.7693165760544349,0.16511140446418837
160,25600,gaussian,100.0,0.006211180124223602,3.857875853555032e-05,25600,0.9876162185100882,2.2619467105846507,direct,,0.10232887498568743,6.276137993078811e-10,3.665560745966237e-13,127360,9.54764020327095e-05,0.7694543876622344,0.16460262325437522
192,36864,gaussian,100.0,0.0051813471502590676,2.684635829149776e-05,36864,0.9896641520577734,2.2619467105846507,direct,,0.16122966597322375,1.0789427431075042e-09,5.256720698667501e-13,183552,6.644236445213885e-05,0.7695295092890537,0.16426352875488193
256,65536,gaussian,100.0,0.0038910505836575876,1.5140274644582053e-05,65536,0.9922330391073294,2.2619467105846502,direct,,0.412655416992493,2.4375124459450905e-09,8.91841200888608e-13,326656,3.747186663609421e-05,0.7696044392200415,0.16383976518091747
